a= 0.034
b= 4.738476683672735e-06
c= 0.038153808290818166
iter, x, f(x)
0, 30.000000, 0.035414
0, 200.000000, 0.035138
0, 94.934222, 0.034852
0, 135.065778, 0.034922
1, 70.131556, 0.034876
2, 110.263112, 0.034869
3, 85.460447, 0.034851
4, 79.605331, 0.034856
5, 89.079107, 0.034850
6, 91.315562, 0.034851
7, 87.696902, 0.034851
8, 89.933357, 0.034850
9, 90.461312, 0.034850
10, 89.607062, 0.034850
11, 89.405401, 0.034850
12, 89.731696, 0.034850
13, 89.808723, 0.034850
14, 89.684090, 0.034850
15, 89.761117, 0.034850
16, 89.713512, 0.034850
17, 89.742934, 0.034850
18, 89.724750, 0.034850
19, 89.735988, 0.034850
20, 89.729043, 0.034850
21, 89.733335, 0.034850
22, 89.730682, 0.034850
23, 89.732322, 0.034850
24, 89.732709, 0.034850
25, 89.732083, 0.034850
26, 89.732470, 0.034850
27, 89.732561, 0.034850
28, 89.732413, 0.034850
29, 89.732505, 0.034850
30, 89.732448, 0.034850
31, 89.732435, 0.034850
32, 89.732456, 0.034850
33, 89.732461, 0.034850
34, 89.732453, 0.034850
35, 89.732458, 0.034850
36, 89.732455, 0.034850
37, 89.732457, 0.034850
38, 89.732456, 0.034850
39, 89.732456, 0.034850
40, 89.732456, 0.034850
xopt= 89.73245633846312
fopt= 0.034850390336208875
